Chapter,Page,Content
Профсоюз,Сервисы для членов профсоюза,"Вы сможете пользоваться сервисами Профкома студентов физического факультета: 🔸 Бесплатный принтер; 🔸 Аренда флешек, повербанков и зарядных устройств; 🔸 Прокат словарей; 🔸 Бюро находок – Потеряшки; 🔸 Прокат инвентаря для настольного тенниса; 🔸 Сервисы для выпускников; 🔸 Буккроссинг; 🔸 Аптечка; 🔸 Канцелярия; 🔸 Швейный набор."
Профсоюз,Что такое карта Зачёт?,"Это ваш профсоюзный билет. С помощью этой карты вы можете получать скидки у полезных для студентов популярных брендов, участвовать в конкурсах и розыгрышах, а также посещать концерты и мероприятия.  Полный перечень скидок есть в статье: vk.cc/bYSCNw."
Профсоюз,РЖД-Бонус,"Если вы: 🔸 студент или аспирант очного отделения; 🔸 член профсоюза, то вы можете получить скидку в 25% на проезд в купе и на сидячих местах скоростных поездов АО «ФПК».Для этого необходимо зарегистрироваться в программе РЖД Бонус на сайте: rzd-bonus.ru. Затем, получив индивидуальный 13-значный код, нужно добавить его в личный кабинет члена профсоюза lk.msuprof.com во вкладке РЖД Бонус.https://vk.com/wall-24234717_22931"
Профсоюз,Как начать что-то делать в Профкоме?,"Чтобы стать активистом Профкома, можно написать в личные сообщения группы https://vk.com/profcomff, прийти лично в кабинет Профкома (2-39) или прийти на любое наше мероприятие и познакомиться с представителями Профкома там."
Профсоюз,"Можно ли быть членом профсоюза, если по результатам сессии лишился стипендии?",Членство в Профсоюзе не зависит от получения стипендии.
Профсоюз,"Что делать, если не выдали карту Зачёт?","Проверьте, что в личном кабинете члена профсоюза (https://lk.msuprof.com/) загружена фотография. Если фотография загружена, но карта не получена, напишите в личные сообщения группы Профкома или обратитесь в кабинет Профкома очно (к. 2-39)."
Профсоюз,Как долго изготавливается карта Зачет?,В течение 90 дней.
Профсоюз,Кто такой профорг?,"Профорг — это связующее звено между группой и Профкомом. Профорг — это выборная должность, поэтому он выбирается в группе путём голосования. Профорг обязательно является членом профсоюза.В обязанности профорга входит:1. Информировать студентов своей группы о доступных им льготах, бонусах и проводимых мероприятиях (в том числе о различных видах стипендий, материальной помощи и БДНС);2. Быть подписанным на группы Профкома Физфака и Профсоюзной организации МГУ (ОПК МГУ) Вконтакте, следить за информацией, появляющейся в беседе профоргов, и своевременно передавать одногруппникам эту информацию,3. Посещать все собрания профоргов и доносить до одногруппников информацию с них (собрания проводятся раз в месяц);4. Мотивировать членов группы на участие в общественных мероприятиях, проводимых факультетом и университетом;5. Контролировать соблюдение прав одногруппников, и в случае возникновения проблем обращаться за помощью или советом в Профком;6. Оперативно передавать информацию (жалобы, обращения, вопросы) от своей группы в Профком (куратору от Профкома);7. Контролировать заполнение одногруппниками заявлений на матпомощь;8. Представлять интересы группы на Профсоюзной конференции вместе с делегатами из своей группы;9. Осуществлять выдачу Профсоюзных билетов (карт «Зачёт»);10. Интересоваться делами своих одногруппников, и в случае понимания их тяжелого материального положения или возможности получения льгот, направлять в Профком;11. Следить за исполнением обязательств Профкома перед группой,12. Осуществлять сбор Профсоюзного взноса со студентов, обучающихся на контрактной основе.В случае, если студент(ка) группы считает свой вопрос слишком личным, чтобы излагать его профоргу, то профорг должен помочь ему/ей связаться с членом Профкома студентов, компетентным по данному вопросу. Всегда можно оставить свой вопрос в сообщениях группы или обратиться в кабинет 2-39.В случае невыполнения профоргом своих обязанностей или превышения полномочий Профком имеет право снимать Профорга с должности. В таком случае группа должна провести собрание и выбрать нового профорга. Выборы нового профорга считаются правомочными, если за кандидата проголосовало более половины членов группы на собрании группы."
Профсоюз,"Как участвовать в мероприятиях, которые организует Профком студентов физического факультета?","В группе Профкома ВКонтакте (https://vk.com/profcomff), а также в нашем телеграмм-канале (https://t.me/profcom_ff) регулярно публикуется информация о проводимых мероприятиях. Ждём вас на наших мероприятиях!"
Профсоюз,Что такое рейтинг групп?,"Рейтинг групп — это рейтинг активности групп 1 курса. За участие в культурных и спортивных мероприятиях и волонтёрство, студенты могут получать баллы, из которых составляется рейтинг групп. Также учитываются результаты сессий. Группа, занявшее первое место в рейтинге к концу 1-го курса получает поездку в Санкт-Петербург на 2 дня!"
Профсоюз,Режим работы Профкома,"Часы работы  Профкома студентов (каб. 2-39):
Пн-Пт: 11:00–16:00 

В каникулярное время Профком переходит в особый режим работы."
Профсоюз,Как связаться с Профкомом?,"Вы можете написать нам в личных сообщениях в группе Профкома ВКонтакте (https://vk.com/profcomff), а также в нашем телеграмм-канале (https://t.me/profcom_ff)."
Профсоюз,Как выйти из Профсоюза?,"Чтобы выйти из Профсоюза, необходимо прийти в рабочие часы (пн-пт, 11:00-16:00) в наш кабинет (2-39) и написать заявление о выходе из Профсоюза."
Профсоюз,Как получить скидки на билеты в театр?,Актуальная информация со скидками и билетами в театры в статье: https://vk.com/@profcomff-bilety-v-teatr
Профсоюз,Как воспользоваться бесплатным принтером?,"Необходимо в приложении «Твой ФФ!» во вкладке сервисы выбрать «Бесплатный принтер», ввести фамилию и номер Профсоюзного билета и загрузить файл PDF размером до 25 МБ и до 50 страниц. После отправки файла вы получите 6-значный код. Его нужно ввести в терминале принтера, расположенный у кабинета Профкома, чтобы распечатать файл.

Также вы можете отправить файл Телеграм боту t.me/profcomff_print_bot, авторизовавшись в системе, и получить 6-значный код."
Стипендии и выплаты,Что такое государственная академическая стипендия?,"Государственная академическая стипендия (ГАС) Это базовая стипендия для студентов-бюджетников. В первом семестре её получают все, а дальше размер зависит от результатов сессии и делится на три типа:Если сессия закрыта на «отлично»;Если есть оценки «хорошо» и «отлично»;Если есть только оценки «хорошо».Если в зачётке есть оценки «удовлетворительно» или пересдачи, стипендия в следующем семестре не выплачивается."
Стипендии и выплаты,Каков размер основных стипендий в МГУ в этом году?,"Размер стипендий в МГУ в 2024/2025 учебном году составляет:Государственная академическая стипендия (ГАС):За все ""4"": 3 091 рубльЗа ""4"" и ""5"": 3 555 рублейЗа все ""5"": 3 865 рублейПовышенная ГАС (ПГАС): 14 466 рублейГосударственная социальная стипендия (ГСС): 4 638 рублей Повышенная ГСС (ПГСС): 15 595 рублей"
Стипендии и выплаты,Что такое государственная социальная стипендия?,"Эта стипендия доступна определённым категориям студентов:Сироты и лица из числа детей-сирот; Студенты, потерявшие обоих родителей или единственного родителя во время обучения;  Дети-инвалиды и инвалиды с детства; Инвалиды I и II группы; Инвалиды вследствие военной травмы или заболевания, полученного в период службы; Студенты, пострадавшие от радиационных катастроф (например, Чернобыльской АЭС);Ветераны боевых действий; Студенты, отслужившие 3 года по контракту.Для оформления нужно подать заявление через приложение «Твой ФФ!», приложив подтверждающие документы. ГСС выплачивается даже во время академического отпуска, а её получатели освобождаются от оплаты проживания в общежитии."
Стипендии и выплаты,Что такое ПГАС?,"Если вы получаете ГАС, то вы можете также претендовать на повышенную стипендию, которая назначается студентам за достижения, полученные в течение года. Её размер составляет около 15 000 руб./мес, но точная сумма определяется в начале семестра. При рассмотрении заявлений на получение этой стипендии учитываются достижения в одном или нескольких из пяти направлений:Учебная деятельность (учёба на «отлично» на протяжении нескольких семестров, победы в олимпиадах);Научно-исследовательская деятельность (публикации, гранты, патенты);Культурно-творческая деятельность (выступления, награды в конкурсах);Спортивная деятельность (ГТО, выступления за МГУ или факультет на соревнованиях);Общественная деятельность (организация мероприятий, волонтерская деятельность).Анкеты на ПГАС подаются три раза в год — в сентябре и феврале для всех студентов и в мае для выпускников. Их рассматривает стипендиальная комиссия факультета, куда входят представители профкома. После рассмотрения в группе профкома публикуется список студентов, которым эта стипендия назначается."
Стипендии и выплаты,Что такое ПГСС?,"Студенты 1-2 курсов, получающие ГСС и закрывшие сессию без троек, автоматически получают повышенную социальную стипендию — около 15 000 руб./мес.. Дополнительные документы не требуются."
Стипендии и выплаты,Какие именные стипендии доступны студентам физфака?,"1) Студентам физфака, обучающимся по совместной программе с филиалом МГУ в г. Сарове, выплачивается стипендия для обучающихся по этой специальности в зависимости от курса обучения.▪1 курс - 10 000 рублей▪2 курс - 20 000 рублей▪3 курс - 30 000 рублей▪4 курс - 40 000 рублей▪5 курс - 50 000 рублей▪6 курс - 60 000 рублейСтипендия назначается в случае, если студент получает ГАС в указанном семестре2) Стипендия Правительства Москвы — 6 500 руб./мес. для студентов, обучающихся на бюджетной форме обучения и подходящие под следующие условия:▪1 курс — окончание московской школы с медалью «За особые успехи в обучении».▪2 – 4 курсы — сессии, закрытые без оценок «удовлетворительно» и участие в общественно значимых городских мероприятиях.С 2023 года, благодаря работе профкома, эта выплата стала доступна студентам нашего факультета.3) Стипендия Архимеда — 20 000 руб./мес. для студентов старших курсов с отличной успеваемостью и научными достижениями. Назначается на год.4) Стипендия Ломоносова — 3 600 руб./мес. за успехи в учёбе, науке, спорте или общественной деятельности. Назначается на семестр.5) Стипендия фонда «Базис»  — 25 000 руб./мес. для студентов 4–6 курсов за успехи в учёбе и науке. Назначается на год.6) Стипендия Президента и Правительства РФ"
Стипендии и выплаты,Какие выплаты могут получать аспиранты?,"🔸 Государственная стипендия аспирантам (ГСА) составляет на физическом факультете 9922 рубля. Сумма фиксированная, не меняется в зависимости от успеваемости, но если вы получаете тройку или пересдачу, стипендия теряется.🔸 Разовая материальная поддержка в этом месяце не назначалась. Напоминаем, что аспиранты могут получать разовую материальную поддержку по следующим причинам: ▪ рождение ребёнка; ▪ вступление в брак; ▪ смерть близкого родственника; ▪ затраты на лечение; ▪ и другое."
Стипендии и выплаты,Что такое БДНС?,"Программа предоставляет 1200 рублей в месяц студентам очной бюджетной формы обучения, относящимся к социально уязвимым категориям. Основными условиями для получения выплаты и её регулярного продления со стороны Профкома являются:🔸Соответствие одной из категорий БДНС;🔸Членство в профсоюзе;🔸Отсутствие академической задолженности.Категории БДНС: ▪студенты-сироты; ▪студенты-инвалиды; ▪студенты из многодетных семей; ▪студенты, имеющие детей; ▪студенты-участники боевых действий; ▪студенты-чернобыльцы; ▪студенты, имеющие родителей-пенсионеров или инвалидов; ▪студенты, состоящие на диспансерном учете с хроническими заболеваниями; ▪студенты из неполных семей; ▪студенты зарегистрированные в новых регионах, получившие гражданство упрощенно, студенты-беженцы; ▪студенты, являющиеся членами студенческих семей и проживающие в общежитии, либо не получающие ГАС; ▪студенты, являющиеся членами малообеспеченных семей и проживающие вобщежитии, либо не получающие ГАС; ▪студенты, проживающие в общежитии и имеющие родителей в разводе; ▪студенты, проживающие в общежитии; ▪студенты, проживающие в Курской, Белгородской, Брянской областях."
Стипендии и выплаты,"Как понять, можешь ли ты претендовать на какие-либо выплаты?","Для этого можно заполнить форму социального мониторинга vk.cc/ctpu6d. Профком проверит вашу анкету и напишет вам, какие выплаты вы можете получать, а также подскажут, какие документы для этого необходимо донести."
Стипендии и выплаты,Разовая материальная поддержка,"Материальная поддержка доступна студентам и аспирантам как бюджетной, так и контрактной формы обучения. Она выплачивается из двух разных источников, и условия отличаются. Расскажем о них подробнее.Разовая материальная поддержка из средств профсоюзного бюджета Эта выплата доступна только членам профсоюза, независимо от формы обучения (бюджет или контракт). Максимальная сумма выплаты — 10 000 руб., а причины могут быть следующими:🔸 Дорогостоящее лечение (кроме стоматологии) — требуются чеки и направление из государственной поликлиники;🔸 Операции по улучшению зрения — 1 000 руб. за диоптрию (по слабому глазу), требуется направление и справка из медицинского учреждения;🔸 Кража или ограбление — до 50% от ущерба, но не более 10 000 руб., требуется постановление из полиции;🔸 Участие в соревнованиях или творческих мероприятиях за пределами Московской области — требуются билеты и документы об участии;🔸 Тяжёлое материальное положение или иные ситуации — требуются  документы, подтверждающие тяжёлое материальное положение.Заявление подаётся через форму в приложении «Твой ФФ!». К нему прикладываются подтверждающие документы и реквизиты стипендиальной карты. Заявления рассматриваются на заседаниях профкома раз в две недели, после чего вы получите решение на указанную почту.Разовая материальная поддержка из средств стипендиального фонда Эта материальная поддержка доступна только обучающимся бюджетной формы (студентам и аспирантам). С 2024 года, благодаря усилиям профсоюза, подоходный налог (13%) с этих выплат отменён. Основания для выплаты:🔸Свадьба, рождение ребёнка, смерть близкого родственника — 18 000 руб. (требуются свидетельства о браке, рождении или смерти);🔸Участие в соревнованиях за сборную МГУ, Москвы или России — до 10 000 руб. (требуются документы о затратах на трансфер, проживание и участие);🔸 Дорогостоящее лечение (кроме консультаций и плановой стоматологии) — до 50% затрат, но не более 10 000 руб. (требуются направление из государственной поликлиники и чеки);🔸 Тяжёлое материальное положение или кража — до 10 000 руб. (требуются документы, подтверждающие тяжёлое материальное положение).Заявление также подаётся через форму в приложении «Твой ФФ!». Мы собираем документы и выносим каждую ситуацию на обсуждение на стипендиальной комиссии факультета."
Стипендии и выплаты,Что такое дотации контрактникам?,"Дотации контрактникам Аналогичная программа предусмотрена для студентов, являющихся членами профсоюза и обучающихся на платной основе. Размер выплаты составляет 1200 рублей в месяц.Категории студентов, которым полагаются дотации: ▪студенты-сироты; ▪студенты-инвалиды; ▪студенты из многодетных семей; ▪студенты, имеющие детей; ▪студенты из неполных семей (развод родителей не соответствует данной категории); ▪студенты-чернобыльцы; ▪студенты, находящиеся на диспансерном учёте с хроническими заболеваниями."
Стипендии и выплаты,"Можно ли получать стипендию, если пропустил основной зачет/экзамен по уважительной причине?","В случае пропуска по уважительной причине, необходимо в течение трех дней предоставить подтверждающие документы в учебную часть и написать заявление на продление сессии. Если вы заранее знаете о том, что пропустите попытку сдачи, лучше предупредить об этом начальника курса. При успешной сдаче на ""зачтено"", ""хорошо"" или ""отлично"" пропущенного по уважительной причине зачета/экзамена студент будет получать стипендию"
Стипендии и выплаты,Какое максимальное количество стипендий можно получать одновременно?,Количество получаемых стипендий не ограничено
Стипендии и выплаты,В какие даты обычно выплачивается стипендия?,23-26 число каждого месяца
Стипендии и выплаты,Как начать получать БДНС?,"Если вы подходите по категории, то подать заявление на выплату БДНС можно с помощью приложения «Твой ФФ!». Если вы НЕ член профсоюза, для подачи заявления (бланк можно скачать по ссылке:  https://disk.yandex.ru/i/VjIZ5YLMjXTV4A или взять в кабинете профкома) необходимо отнести его и подтверждающие документы  в ОПК МГУ (Экономический факультет, 1 этаж, кабинет 103) по будням строго с 12:00 до 18:00."
Инфраструктура и другие вопросы,Что где находится?,"Учебная часть находится на 2 этаже рядом с Холлом ЦФА напротив северной лестницы. График работы учебной части: с 8:45 до 11:00, с 12:00 до 13:15, с 14:15 до 17:00. ""Кабинет 174 расположен в Главном здании МГУ на 1 этаже в переходе из А корпуса в Б корпус""Библиотека находится на 5 этаже, вход со стороны южной лестницы. График работы библиотеки: пн–пт 11:00–19:00, сб 11:00–17:00, вс выходной. Абонемент библиотеки находится на 4 этаже. График работы: пн – пт 12:30 – 17:00.Гербовую печать можно поставить в 174 кабинете главного здания"
Инфраструктура и другие вопросы,Когда в МГУ каникулы?,Зимние каникулы: с 25 января по 6 февраля Летние каникулы: с 25 июня по 31 августа
Инфраструктура и другие вопросы,Календарь праздничных и выходных дней,
Инфраструктура и другие вопросы,Как воспользоваться бесплатным принтером?,Принтер расположен у кабинета 2-39 и отправка файлов в печать реализована одним из трех способов:Приложение «Твой ФФ!» (https://app.profcomff.com/apps/1)Бот в Telegram (https://t.me/profcomff_print_bot)Группа ВК (https://vk.com/profcomff_print_bot)
Инфраструктура и другие вопросы,Как долго изготавливаются автомобильные пропуска?,В течение месяца.
Инфраструктура и другие вопросы,Летние лагеря,"Студенты и аспиранты, обучающиеся на бюджетной основе, могут бесплатно отдыхать в лагерях университета до трёх раз за весь период обучения. Доступны базы отдыха в Подмосковье («Университетский», «Красновидово») и на Черноморском побережье («Буревестник»). Для получения путёвки необходимо подать заявление в Профком в установленные сроки: в ноябре — для зимних лагерей, в апреле — для летних. Отбор проводится на основе социальных критериев, академических достижений и количества предыдущих поездок. Подробная информация об отборе публикуется в группе Профкома: https://vk.com/profcomff."
Инфраструктура и другие вопросы,Социальная карта Москвича,"Социальная карта москвича позволяет пользоваться льготным проездом в транспорте.Оформить карту москвича могут: 🔸 студенты, аспиранты и ординаторы очной формы обучения ВУЗов Москвы; 🔸 студенты-москвичи, обучающиеся за пределами Москвы. Пополнить карту можно в любом терминале метрополитена.Социальная карта дает скидку 50% при проезде на пригородных поездах и МЦД в центральной зоне, льготный проезд в метро и наземном транспорте, скидки в магазинах Москвы. Больше о преимуществах и оформлении карты читайте на портале: mos.ru."
Общежитие,Куда обращаться при возникновении поломок в комнате?,Обращаться к дежурному администратору вашего этажа.ДСЛ 1131ДС 228
